statedistrict,member-info/namelist,member-info/bioguideID,member-info/lastname,member-info/firstname,member-info/middlename,member-info/sort-name,member-info/suffix,member-info/courtesy,member-info/prior-congress,member-info/official-name,member-info/formal-name,member-info/party,member-info/caucus,member-info/state/state-fullname,member-info/state/_postal-code,member-info/district,member-info/townname,member-info/office-building,member-info/office-room,member-info/office-zip,member-info/office-zip-suffix,member-info/phone,member-info/elected-date/_date,member-info/elected-date/__text,member-info/sworn-date/_date,committee-assignments/committee/0/_rank
CT05,"Esty, Elizabeth",E000293,Esty,Elizabeth,H.,"ESTY,ELIZABETH",,Ms.,114,Elizabeth H. Esty,Ms. Esty,D,D,Connecticut,CT,5th,Cheshire,CHOB,221,20515,705,(202) 225-4476,20161108,"November  8, 2016",,
DC00,"Norton, Eleanor",N000147,Norton,Eleanor,Holmes,"NORTON,ELEANOR",,Ms.,114,Eleanor Holmes Norton,Ms. Norton,D,D,District of Columbia,DC,Delegate,District of Columbia,RHOB,2136,20515,5101,(202) 225-8050,20161108,"November  8, 2016",,
DE00,"Blunt Rochester, Lisa",B001303,Blunt Rochester,Lisa,,"BLUNTROCHESTER,LISA",,Ms.,0,Lisa Blunt Rochester,Ms. Blunt Rochester,D,D,Delaware,DE,At Large,Wilmington,LHOB,1123,20515,800,(202) 225-4165,20161108,"November  8, 2016",,
FL01,"Gaetz, Matt",G000578,Gaetz,Matt,,"GAETZ,MATT",,Mr.,0,Matt Gaetz,Mr. Gaetz,R,R,Florida,FL,1st,Fort Walton Beach,CHOB,507,20515,901,(202) 225-4136,20161108,"November  8, 2016",,
FL02,"Dunn, Neal",D000628,Dunn,Neal,P.,"DUNN,NEAL",,Mr.,0,Neal P. Dunn,Mr. Dunn,R,R,Florida,FL,2nd,Panama City,CHOB,423,20515,902,(202) 225-5235,20161108,"November  8, 2016",,
FL03,"Yoho, Ted",Y000065,Yoho,Ted,S.,"YOHO,TED",,Mr.,114,Ted S. Yoho,Mr. Yoho,R,R,Florida,FL,3rd,Gainesville,CHOB,511,20515,903,(202) 225-5744,20161108,"November  8, 2016",,
FL04,"Rutherford, John",R000609,Rutherford,John,H.,"RUTHERFORD,JOHN",,Mr.,0,John H. Rutherford,Mr. Rutherford,R,R,Florida,FL,4th,Jacksonville,CHOB,230,20515,904,(202) 225-2501,20161108,"November  8, 2016",,
FL05,"Lawson, Al",L000586,Lawson,Al,,"LAWSON,AL",Jr.,Mr.,0,"Al Lawson, Jr.",Mr. Lawson of Florida,D,D,Florida,FL,5th,Tallahassee,LHOB,1337,20515,905,(202) 225-0123,20161108,"November  8, 2016",,
FL06,"DeSantis, Ron",D000621,DeSantis,Ron,,"DESANTIS,RON",,Mr.,114,Ron DeSantis,Mr. DeSantis,R,R,Florida,FL,6th,Palm Coast,LHOB,1524,20515,906,(202) 225-2706,20161108,"November  8, 2016",,
FL07,"Murphy, Stephanie",M001202,Murphy,Stephanie,N.,"MURPHY,STEPHANIE",,Mrs.,0,Stephanie N. Murphy,Mrs. Murphy of Florida,D,D,Florida,FL,7th,Winter Park,LHOB,1237,20515,907,(202) 225-4035,20161108,"November  8, 2016",,
FL08,"Posey, Bill",P000599,Posey,Bill,,"POSEY,BILL",,Mr.,114,Bill Posey,Mr. Posey,R,R,Florida,FL,8th,Rockledge,RHOB,2150,20515,908,(202) 225-3671,20161108,"November  8, 2016",,
FL09,"Soto, Darren",S001200,Soto,Darren,,"SOTO,DARREN",,Mr.,0,Darren Soto,Mr. Soto,D,D,Florida,FL,9th,Kissimmee,LHOB,1429,20515,909,(202) 225-9889,20161108,"November  8, 2016",,
FL10,"Demings, Val",D000627,Demings,Val,Butler,"DEMINGS,VAL",,Mrs.,0,Val Butler Demings,Mrs. Demings,D,D,Florida,FL,10th,Orlando,CHOB,238,20515,910,(202) 225-2176,20161108,"November  8, 2016",,
FL11,"Webster, Daniel",W000806,Webster,Daniel,,"WEBSTER,DANIEL",,Mr.,114,Daniel Webster,Mr. Webster of Florida,R,R,Florida,FL,11th,Clermont,LHOB,1210,20515,911,(202) 225-1002,20161108,"November  8, 2016",,
FL12,"Bilirakis, Gus",B001257,Bilirakis,Gus,M.,"BILIRAKIS,GUS",,Mr.,114,Gus M. Bilirakis,Mr. Bilirakis,R,R,Florida,FL,12th,Palm Harbor,RHOB,2112,20515,912,(202) 225-5755,20161108,"November  8, 2016",,
FL13,"Crist, Charlie",C001111,Crist,Charlie,,"CRIST,CHARLIE",,Mr.,0,Charlie Crist,Mr. Crist,D,D,Florida,FL,13th,St. Petersburg,CHOB,427,20515,913,(202) 225-5961,20161108,"November  8, 2016",,
FL14,"Castor, Kathy",C001066,Castor,Kathy,,"CASTOR,KATHY",,Ms.,114,Kathy Castor,Ms. Castor of Florida,D,D,Florida,FL,14th,Tampa,RHOB,2052,20515,914,(202) 225-3376,20161108,"November  8, 2016",,
FL15,"Ross, Dennis",R000593,Ross,Dennis,A.,"ROSS,DENNIS",,Mr.,114,Dennis A. Ross,Mr. Ross,R,R,Florida,FL,15th,Lakeland,CHOB,436,20515,915,(202) 225-1252,20161108,"November  8, 2016",,
FL16,"Buchanan, Vern",B001260,Buchanan,Vern,,"BUCHANAN,VERN",,Mr.,114,Vern Buchanan,Mr. Buchanan,R,R,Florida,FL,16th,Sarasota,RHOB,2104,20515,916,(202) 225-5015,20161108,"November  8, 2016",,
FL17,"Rooney, Thomas",R000583,Rooney,Thomas,J.,"ROONEY,THOMAS",,Mr.,114,Thomas J. Rooney,Mr. Thomas J. Rooney of Florida,R,R,Florida,FL,17th,Okeechobee,RHOB,2160,20515,917,(202) 225-5792,20161108,"November  8, 2016",,
FL18,"Mast, Brian",M001199,Mast,Brian,J.,"MAST,BRIAN",,Mr.,0,Brian J. Mast,Mr. Mast,R,R,Florida,FL,18th,Palm City,RHOB,2182,20515,918,(202) 225-3026,20161108,"November  8, 2016",,
FL19,"Rooney, Francis",R000607,Rooney,Francis,,"ROONEY,FRANCIS",,Mr.,0,Francis Rooney,Mr. Francis Rooney of Florida,R,R,Florida,FL,19th,Naples,CHOB,120,20515,919,(202) 225-2536,20161108,"November  8, 2016",,
FL20,"Hastings, Alcee",H000324,Hastings,Alcee,L.,"HASTINGS,ALCEE",,Mr.,114,Alcee L. Hastings,Mr. Hastings,D,D,Florida,FL,20th,Delray Beach,RHOB,2353,20515,920,(202) 225-1313,20161108,"November  8, 2016",,
FL21,"Frankel, Lois",F000462,Frankel,Lois,,"FRANKEL,LOIS",,Ms.,114,Lois Frankel,Ms. Frankel of Florida,D,D,Florida,FL,21st,West Palm Beach,LHOB,1037,20515,921,(202) 225-3001,20161108,"November  8, 2016",,
FL22,"Deutch, Theodore",D000610,Deutch,Theodore,E.,"DEUTCH,THEODORE",,Mr.,114,Theodore E. Deutch,Mr. Deutch,D,D,Florida,FL,22nd,Boca Raton,RHOB,2447,20515,922,(202) 225-9890,20161108,"November  8, 2016",,
FL23,"Wasserman Schultz, Debbie",W000797,Wasserman Schultz,Debbie,,"WASSERMANSCHULTZ,DEBBIE",,Ms.,114,Debbie Wasserman Schultz,Ms. Wasserman Schultz,D,D,Florida,FL,23rd,Weston,LHOB,1114,20515,923,(202) 225-7931,20161108,"November  8, 2016",,
FL24,"Wilson, Frederica",W000808,Wilson,Frederica,S.,"WILSON,FREDERICA",,Ms.,114,Frederica S. Wilson,Ms. Wilson of Florida,D,D,Florida,FL,24th,Miami Gardens,RHOB,2445,20515,924,(202) 225-4506,20161108,"November  8, 2016",,
FL25,"Diaz-Balart, Mario",D000600,Diaz-Balart,Mario,,"DIAZBALART,MARIO",,Mr.,114,Mario Diaz-Balart,Mr. Diaz-Balart,R,R,Florida,FL,25th,Miami,CHOB,440,20515,925,(202) 225-4211,20161108,"November  8, 2016",,
FL26,"Curbelo, Carlos",C001107,Curbelo,Carlos,,"CURBELO,CARLOS",,Mr.,114,Carlos Curbelo,Mr. Curbelo of Florida,R,R,Florida,FL,26th,Miami,LHOB,1404,20515,926,(202) 225-2778,20161108,"November  8, 2016",,
FL27,"Ros-Lehtinen, Ileana",R000435,Ros-Lehtinen,Ileana,,"ROSLEHTINEN,ILEANA",,Ms.,114,Ileana Ros-Lehtinen,Ms. Ros-Lehtinen,R,R,Florida,FL,27th,Miami,RHOB,2206,20515,927,(202) 225-3931,20161108,"November  8, 2016",,
GA01,"Carter, Earl",C001103,Carter,Earl,"L. ""Buddy""","CARTER,EARL",,Mr.,114,"Earl L. ""Buddy"" Carter",Mr. Carter of Georgia,R,R,Georgia,GA,1st,Pooler,CHOB,432,20515,1001,(202) 225-5831,20161108,"November  8, 2016",,
GA02,"Bishop, Sanford",B000490,Bishop,Sanford,D.,"BISHOP,SANFORD",Jr.,Mr.,114,"Sanford D. Bishop, Jr.",Mr. Bishop of Georgia,D,D,Georgia,GA,2nd,Albany,RHOB,2407,20515,1002,(202) 225-3631,20161108,"November  8, 2016",,
GA03,"Ferguson, A.",F000465,Ferguson,A.,Drew,"FERGUSON,A.",IV,Mr.,0,A. Drew Ferguson IV,Mr. Ferguson,R,R,Georgia,GA,3rd,West Point,LHOB,1032,20515,1003,(202) 225-5901,20161108,"November  8, 2016",,
GA04,"Johnson, Henry",J000288,Johnson,Henry,"C. ""Hank""","JOHNSON,HENRY",Jr.,Mr.,114,"Henry C. ""Hank"" Johnson, Jr.",Mr. Johnson of Georgia,D,D,Georgia,GA,4th,Lithonia,RHOB,2240,20515,1004,(202) 225-1605,20161108,"November  8, 2016",,
GA05,"Lewis, John",L000287,Lewis,John,,"LEWIS,JOHN",,Mr.,114,John Lewis,Mr. Lewis of Georgia,D,D,Georgia,GA,5th,Atlanta,CHOB,343,20515,1005,(202) 225-3801,20161108,"November  8, 2016",,
GA06,"Price, Tom",P000591,Price,Tom,,"PRICE,TOM",,Mr.,114,Tom Price,Mr. Tom Price of Georgia,R,R,Georgia,GA,6th,Roswell,LHOB,1211,20515,1006,(202) 225-4501,20161108,"November  8, 2016",,
GA07,"Woodall, Rob",W000810,Woodall,Rob,,"WOODALL,ROB",,Mr.,114,Rob Woodall,Mr. Woodall,R,R,Georgia,GA,7th,Lawrenceville,LHOB,1724,20515,1007,(202) 225-4272,20161108,"November  8, 2016",,
GA08,"Scott, Austin",S001189,Scott,Austin,,"SCOTT,AUSTIN",,Mr.,114,Austin Scott,Mr. Austin Scott of Georgia,R,R,Georgia,GA,8th,Tifton,RHOB,2417,20515,1008,(202) 225-6531,20161108,"November  8, 2016",,
GA09,"Collins, Doug",C001093,Collins,Doug,,"COLLINS,DOUG",,Mr.,114,Doug Collins,Mr. Collins of Georgia,R,R,Georgia,GA,9th,Gainesville,LHOB,1504,20515,1009,(202) 225-9893,20161108,"November  8, 2016",,
GA10,"Hice, Jody",H001071,Hice,Jody,B.,"HICE,JODY",,Mr.,114,Jody B. Hice,Mr. Jody B. Hice of Georgia,R,R,Georgia,GA,10th,Monroe,CHOB,324,20515,1010,(202) 225-4101,20161108,"November  8, 2016",,
GA11,"Loudermilk, Barry",L000583,Loudermilk,Barry,,"LOUDERMILK,BARRY",,Mr.,114,Barry Loudermilk,Mr. Loudermilk,R,R,Georgia,GA,11th,Cassville,CHOB,329,20515,1011,(202) 225-2931,20161108,"November  8, 2016",,
GA12,"Allen, Rick",A000372,Allen,Rick,W.,"ALLEN,RICK",,Mr.,114,Rick W. Allen,Mr. Allen,R,R,Georgia,GA,12th,Augusta,CHOB,426,20515,1012,(202) 225-2823,20161108,"November  8, 2016",,
GA13,"Scott, David",S001157,Scott,David,,"SCOTT,DAVID",,Mr.,114,David Scott,Mr. David Scott of Georgia,D,D,Georgia,GA,13th,Atlanta,CHOB,225,20515,1013,(202) 225-2939,20161108,"November  8, 2016",,
GA14,"Graves, Tom",G000560,Graves,Tom,,"GRAVES,TOM",,Mr.,114,Tom Graves,Mr. Graves of Georgia,R,R,Georgia,GA,14th,Ranger,RHOB,2078,20515,1014,(202) 225-5211,20161108,"November  8, 2016",,
GU00,"Bordallo, Madeleine",B001245,Bordallo,Madeleine,Z.,"BORDALLO,MADELEINE",,Ms.,114,Madeleine Z. Bordallo,Ms. Bordallo,D,D,Guam,GU,Delegate,Hagatna,RHOB,2441,20515,5301,(202) 225-1188,20161108,"November  8, 2016",,
HI01,"Hanabusa, Colleen",H001050,Hanabusa,Colleen,,"HANABUSA,COLLEEN",,Ms.,114,Colleen Hanabusa,Ms. Hanabusa,D,D,Hawaii,HI,1st,Honolulu,CHOB,422,20515,1101,(202) 225-2726,20161108,"November  8, 2016",,
HI02,"Gabbard, Tulsi",G000571,Gabbard,Tulsi,,"GABBARD,TULSI",,Ms.,114,Tulsi Gabbard,Ms. Gabbard,D,D,Hawaii,HI,2nd,Kailua,LHOB,1433,20515,1102,(202) 225-4906,20161108,"November  8, 2016",,
IA01,"Blum, Rod",B001294,Blum,Rod,,"BLUM,ROD",,Mr.,114,Rod Blum,Mr. Blum,R,R,Iowa,IA,1st,Dubuque,LHOB,1108,20515,1501,(202) 225-2911,20161108,"November  8, 2016",,
IA02,"Loebsack, David",L000565,Loebsack,David,,"LOEBSACK,DAVID",,Mr.,114,David Loebsack,Mr. Loebsack,D,D,Iowa,IA,2nd,Iowa City,LHOB,1527,20515,1502,(202) 225-6576,20161108,"November  8, 2016",,
IA03,"Young, David",Y000066,Young,David,,"YOUNG,DAVID",,Mr.,114,David Young,Mr. Young of Iowa,R,R,Iowa,IA,3rd,Van Meter,CHOB,240,20515,1503,(202) 225-5476,20161108,"November  8, 2016",,
IA04,"King, Steve",K000362,King,Steve,,"KING,STEVE",,Mr.,114,Steve King,Mr. King of Iowa,R,R,Iowa,IA,4th,Kiron,RHOB,2210,20515,1504,(202) 225-4426,20161108,"November  8, 2016",,
ID01,"Labrador, RaÃºl",L000573,Labrador,RaÃºl,R.,"LABRADOR,RAUL",,Mr.,114,RaÃºl R. Labrador,Mr. Labrador,R,R,Idaho,ID,1st,Eagle,LHOB,1523,20515,1201,(202) 225-6611,20161108,"November  8, 2016",,
ID02,"Simpson, Michael",S001148,Simpson,Michael,K.,"SIMPSON,MICHAEL",,Mr.,114,Michael K. Simpson,Mr. Simpson,R,R,Idaho,ID,2nd,Idaho Falls,RHOB,2084,20515,1202,(202) 225-5531,20161108,"November  8, 2016",,
IL01,"Rush, Bobby",R000515,Rush,Bobby,L.,"RUSH,BOBBY",,Mr.,114,Bobby L. Rush,Mr. Rush,D,D,Illinois,IL,1st,Chicago,RHOB,2188,20515,1301,(202) 225-4372,20161108,"November  8, 2016",,
IL02,"Kelly, Robin",K000385,Kelly,Robin,L.,"KELLY,ROBIN",,Ms.,114,Robin L. Kelly,Ms. Kelly of Illinois,D,D,Illinois,IL,2nd,Matteson,LHOB,1239,20515,1302,(202) 225-0773,20161108,"November  8, 2016",,
IL03,"Lipinski, Daniel",L000563,Lipinski,Daniel,,"LIPINSKI,DANIEL",,Mr.,114,Daniel Lipinski,Mr. Lipinski,D,D,Illinois,IL,3rd,Western Springs,RHOB,2346,20515,1303,(202) 225-5701,20161108,"November  8, 2016",,
IL04,"GutiÃ©rrez, Luis",G000535,GutiÃ©rrez,Luis,V.,"GUTIERREZ,LUIS",,Mr.,114,Luis V. GutiÃ©rrez,Mr. GutiÃ©rrez,D,D,Illinois,IL,4th,Chicago,RHOB,2408,20515,1304,(202) 225-8203,20161108,"November  8, 2016",,
IL05,"Quigley, Mike",Q000023,Quigley,Mike,,"QUIGLEY,MIKE",,Mr.,114,Mike Quigley,Mr. Quigley,D,D,Illinois,IL,5th,Chicago,RHOB,2458,20515,1305,(202) 225-4061,20161108,"November  8, 2016",,
IL06,"Roskam, Peter",R000580,Roskam,Peter,J.,"ROSKAM,PETER",,Mr.,114,Peter J. Roskam,Mr. Roskam,R,R,Illinois,IL,6th,Wheaton,RHOB,2246,20515,1306,(202) 225-4561,20161108,"November  8, 2016",,
IL07,"Davis, Danny",D000096,Davis,Danny,K.,"DAVIS,DANNY",,Mr.,114,Danny K. Davis,Mr. Danny K. Davis of Illinois,D,D,Illinois,IL,7th,Chicago,RHOB,2159,20515,1307,(202) 225-5006,20161108,"November  8, 2016",,
IL08,"Krishnamoorthi, Raja",K000391,Krishnamoorthi,Raja,,"KRISHNAMOORTHI,RAJA",,Mr.,0,Raja Krishnamoorthi,Mr. Krishnamoorthi,D,D,Illinois,IL,8th,Schaumburg,CHOB,515,20515,1308,(202) 225-3711,20161108,"November  8, 2016",,
IL09,"Schakowsky, Janice",S001145,Schakowsky,Janice,D.,"SCHAKOWSKY,JANICE",,Ms.,114,Janice D. Schakowsky,Ms. Schakowsky,D,D,Illinois,IL,9th,Evanston,RHOB,2367,20515,1309,(202) 225-2111,20161108,"November  8, 2016",,
IL10,"Schneider, Bradley",S001190,Schneider,Bradley,Scott,"SCHNEIDER,BRADLEY",,Mr.,113,Bradley Scott Schneider,Mr. Schneider,D,D,Illinois,IL,10th,Deerfield,LHOB,1432,20515,1310,(202) 225-4835,20161108,"November  8, 2016",,
IL11,"Foster, Bill",F000454,Foster,Bill,,"FOSTER,BILL",,Mr.,114,Bill Foster,Mr. Foster,D,D,Illinois,IL,11th,Naperville,LHOB,1224,20515,1311,(202) 225-3515,20161108,"November  8, 2016",,
IL12,"Bost, Mike",B001295,Bost,Mike,,"BOST,MIKE",,Mr.,114,Mike Bost,Mr. Bost,R,R,Illinois,IL,12th,Murphysboro,LHOB,1440,20515,1312,(202) 225-5661,20161108,"November  8, 2016",,
IL13,"Davis, Rodney",D000619,Davis,Rodney,,"DAVIS,RODNEY",,Mr.,114,Rodney Davis,Mr. Rodney Davis of Illinois,R,R,Illinois,IL,13th,Taylorville,LHOB,1740,20515,1313,(202) 225-2371,20161108,"November  8, 2016",,
IL14,"Hultgren, Randy",H001059,Hultgren,Randy,,"HULTGREN,RANDY",,Mr.,114,Randy Hultgren,Mr. Hultgren,R,R,Illinois,IL,14th,Plano,RHOB,2455,20515,1314,(202) 225-2976,20161108,"November  8, 2016",,
IL15,"Shimkus, John",S000364,Shimkus,John,,"SHIMKUS,JOHN",,Mr.,114,John Shimkus,Mr. Shimkus,R,R,Illinois,IL,15th,Collinsville,RHOB,2217,20515,1315,(202) 225-5271,20161108,"November  8, 2016",,
IL16,"Kinzinger, Adam",K000378,Kinzinger,Adam,,"KINZINGER,ADAM",,Mr.,114,Adam Kinzinger,Mr. Kinzinger,R,R,Illinois,IL,16th,Channahon,RHOB,2245,20515,1316,(202) 225-3635,20161108,"November  8, 2016",,
IL17,"Bustos, Cheri",B001286,Bustos,Cheri,,"BUSTOS,CHERI",,Mrs.,114,Cheri Bustos,Mrs. Bustos,D,D,Illinois,IL,17th,Moline,LHOB,1009,20515,1317,(202) 225-5905,20161108,"November  8, 2016",,
IL18,"LaHood, Darin",L000585,LaHood,Darin,,"LAHOOD,DARIN",,Mr.,114,Darin LaHood,Mr. LaHood,R,R,Illinois,IL,18th,Peoria,LHOB,1424,20515,1318,(202) 225-6201,20161108,"November  8, 2016",,
IN01,"Visclosky, Peter",V000108,Visclosky,Peter,J.,"VISCLOSKY,PETER",,Mr.,114,Peter J. Visclosky,Mr. Visclosky,D,D,Indiana,IN,1st,Merrillville,RHOB,2328,20515,1401,(202) 225-2461,20161108,"November  8, 2016",,
IN02,"Walorski, Jackie",W000813,Walorski,Jackie,,"WALORSKI,JACKIE",,Mrs.,114,Jackie Walorski,Mrs. Walorski,R,R,Indiana,IN,2nd,Elkhart,CHOB,419,20515,1402,(202) 225-3915,20161108,"November  8, 2016",,
IN03,"Banks, Jim",B001299,Banks,Jim,,"BANKS,JIM",,Mr.,0,Jim Banks,Mr. Banks of Indiana,R,R,Indiana,IN,3rd,Columbia City,CHOB,509,20515,1403,(202) 225-4436,20161108,"November  8, 2016",,
IN04,"Rokita, Todd",R000592,Rokita,Todd,,"ROKITA,TODD",,Mr.,114,Todd Rokita,Mr. Rokita,R,R,Indiana,IN,4th,Brownsburg,RHOB,2439,20515,1404,(202) 225-5037,20161108,"November  8, 2016",,
IN05,"Brooks, Susan",B001284,Brooks,Susan,W.,"BROOKS,SUSAN",,Mrs.,114,Susan W. Brooks,Mrs. Brooks of Indiana,R,R,Indiana,IN,5th,Carmel,LHOB,1030,20515,1405,(202) 225-2276,20161108,"November  8, 2016",,
IN06,"Messer, Luke",M001189,Messer,Luke,,"MESSER,LUKE",,Mr.,114,Luke Messer,Mr. Messer,R,R,Indiana,IN,6th,Greensburg,LHOB,1230,20515,1406,(202) 225-3021,20161108,"November  8, 2016",,
IN07,"Carson, AndrÃ©",C001072,Carson,AndrÃ©,,"CARSON,ANDRE",,Mr.,114,AndrÃ© Carson,Mr. Carson of Indiana,D,D,Indiana,IN,7th,Indianapolis,RHOB,2135,20515,1407,(202) 225-4011,20161108,"November  8, 2016",,
IN08,"Bucshon, Larry",B001275,Bucshon,Larry,,"BUCSHON,LARRY",,Mr.,114,Larry Bucshon,Mr. Bucshon,R,R,Indiana,IN,8th,Newburgh,LHOB,1005,20515,1408,(202) 225-4636,20161108,"November  8, 2016",,
IN09,"Hollingsworth, Trey",H001074,Hollingsworth,Trey,,"HOLLINGSWORTH,TREY",,Mr.,0,Trey Hollingsworth,Mr. Hollingsworth,R,R,Indiana,IN,9th,Jeffersonville,LHOB,1641,20515,1409,(202) 225-5315,20161108,"November  8, 2016",,
KS01,"Marshall, Roger",M001198,Marshall,Roger,W.,"MARSHALL,ROGER",,Mr.,0,Roger W. Marshall,Mr. Marshall,R,R,Kansas,KS,1st,Great Bend,CHOB,312,20515,1601,(202) 225-2715,20161108,"November  8, 2016",,
KS02,"Jenkins, Lynn",J000290,Jenkins,Lynn,,"JENKINS,LYNN",,Ms.,114,Lynn Jenkins,Ms. Jenkins of Kansas,R,R,Kansas,KS,2nd,Topeka,LHOB,1526,20515,1602,(202) 225-6601,20161108,"November  8, 2016",,
KS03,"Yoder, Kevin",Y000063,Yoder,Kevin,,"YODER,KEVIN",,Mr.,114,Kevin Yoder,Mr. Yoder,R,R,Kansas,KS,3rd,Overland Park,RHOB,2433,20515,1603,(202) 225-2865,20161108,"November  8, 2016",,
KS04,"Pompeo, Mike",P000602,Pompeo,Mike,,"POMPEO,MIKE",,Mr.,114,Mike Pompeo,Mr. Pompeo,R,R,Kansas,KS,4th,Wichita,RHOB,2452,20515,1604,(202) 225-6216,20161108,"November  8, 2016",,
KY01,"Comer, James",C001108,Comer,James,,"COMER,JAMES",,Mr.,114,James Comer,Mr. Comer,R,R,Kentucky,KY,1st,Tompkinsville,LHOB,1513,20515,1701,(202) 225-3115,20161108,"November  8, 2016",,
KY02,"Guthrie, Brett",G000558,Guthrie,Brett,,"GUTHRIE,BRETT",,Mr.,114,Brett Guthrie,Mr. Guthrie,R,R,Kentucky,KY,2nd,Bowling Green,RHOB,2434,20515,1702,(202) 225-3501,20161108,"November  8, 2016",,
KY03,"Yarmuth, John",Y000062,Yarmuth,John,A.,"YARMUTH,JOHN",,Mr.,114,John A. Yarmuth,Mr. Yarmuth,D,D,Kentucky,KY,3rd,Louisville,CHOB,131,20515,1703,(202) 225-5401,20161108,"November  8, 2016",,
KY04,"Massie, Thomas",M001184,Massie,Thomas,,"MASSIE,THOMAS",,Mr.,114,Thomas Massie,Mr. Massie,R,R,Kentucky,KY,4th,Garrison,RHOB,2453,20515,1704,(202) 225-3465,20161108,"November  8, 2016",,
